Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,68.720001,69.260002,68.190002,69.150002,51.284389,27809100
2010-01-05,69.190002,69.449997,68.800003,69.419998,51.484634,30174700
2010-01-06,69.449997,70.599998,69.339996,70.019997,51.929600,35044700
2010-01-07,69.900002,70.059998,69.419998,69.800003,51.766449,27192100
2010-01-08,69.690002,69.750000,69.220001,69.519997,51.558784,24891800
2010-01-11,69.940002,70.519997,69.650002,70.300003,52.137276,30685000
2010-01-12,69.720001,69.989998,69.519997,69.949997,51.877697,31496700
2010-01-13,69.959999,70.040001,69.260002,69.669998,51.670040,24884400
2010-01-14,69.540001,69.739998,69.349998,69.680000,51.677464,18630800
2010-01-15,69.650002,69.690002,68.650002,69.110001,51.254730,29411900
2010-01-19,68.739998,69.349998,68.419998,69.269997,51.373379,26081900
2010-01-20,68.559998,68.660004,67.930000,68.029999,50.453739,34629500
2010-01-21,68.120003,68.150002,66.500000,66.699997,49.467373,39114000
2010-01-22,66.519997,67.139999,66.000000,66.099998,49.022381,39085500
2010-01-25,66.550003,66.760002,65.690002,65.849998,48.836967,29305100
2010-01-26,65.639999,66.739998,65.500000,65.919998,48.888878,34083300
2010-01-27,65.660004,66.059998,65.000000,65.540001,48.607067,35723500
2010-01-28,65.849998,65.849998,64.570000,64.959999,48.176918,37349800
2010-01-29,65.150002,65.820000,64.019997,64.430000,47.783844,40880500
2010-02-01,65.769997,66.410004,65.349998,66.180000,49.081718,37703000
2010-02-02,66.730003,67.120003,66.470001,66.959999,49.660202,34057900
2010-02-03,66.879997,67.230003,66.559998,66.599998,49.393200,24024700
2010-02-04,66.269997,66.349998,64.680000,64.720001,47.998924,33858200
2010-02-05,64.699997,64.900002,63.560001,64.800003,48.058250,42297500
2010-02-08,64.910004,65.489998,64.339996,64.349998,48.035862,30519400
2010-02-09,65.110001,65.709999,64.559998,65.199997,48.670353,36243300
2010-02-10,65.080002,65.220001,64.160004,64.849998,48.409107,21699100
2010-02-11,64.690002,65.480003,64.410004,65.239998,48.700218,23555200
2010-02-12,64.620003,65.139999,64.279999,64.800003,48.371769,30636200
2010-02-16,65.440002,66.379997,65.080002,66.279999,49.476570,30514900
2010-02-17,66.339996,66.449997,65.570000,65.760002,49.088398,21821800
2010-02-18,65.800003,66.089996,65.349998,65.959999,49.237686,22536700
2010-02-19,65.589996,66.239998,65.430000,65.870003,49.170506,24264600
2010-02-22,66.099998,66.120003,65.250000,65.400002,48.819656,20469700
2010-02-23,65.260002,65.559998,64.150002,64.940002,48.476276,33372900
2010-02-24,65.010002,65.870003,64.769997,65.550003,48.931637,21469600
2010-02-25,64.610001,65.169998,64.370003,65.139999,48.625576,25668800
2010-02-26,65.260002,65.400002,64.919998,65.000000,48.521069,20129700
2010-03-01,65.360001,65.540001,65.089996,65.400002,48.819656,18798600
2010-03-02,65.660004,65.790001,65.150002,65.489998,48.886837,24823900
2010-03-03,65.769997,65.970001,65.379997,65.430000,48.842068,22279800
2010-03-04,65.349998,65.629997,65.080002,65.400002,48.819656,21961100
2010-03-05,65.959999,66.519997,65.779999,66.470001,49.618397,26837900
2010-03-08,66.769997,66.790001,66.230003,66.480003,49.625866,20297200
2010-03-09,66.320000,67.190002,66.220001,66.779999,49.849785,29003100
