Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,131.179993,132.970001,130.850006,132.449997,99.299347,6155300
2010-01-05,131.679993,131.850006,130.100006,130.850006,98.099792,6841400
2010-01-06,130.679993,131.490005,129.809998,130.000000,97.462532,5605300
2010-01-07,129.869995,130.250000,128.910004,129.550003,97.125160,5840600
2010-01-08,129.070007,130.919998,129.050003,130.850006,98.099792,4197200
2010-01-11,131.059998,131.059998,128.669998,129.479996,97.072685,5730400
2010-01-12,129.029999,131.330002,129.000000,130.509995,97.844872,8081500
2010-01-13,130.389999,131.119995,129.160004,130.229996,97.634964,6455400
2010-01-14,130.550003,132.710007,129.910004,132.309998,99.194389,7111800
2010-01-15,132.029999,132.889999,131.089996,131.779999,98.797028,8494400
2010-01-19,131.630005,134.250000,131.559998,134.139999,100.566330,13916200
2010-01-20,130.460007,131.149994,128.949997,130.250000,97.649979,15197500
2010-01-21,130.470001,130.690002,128.059998,129.000000,96.712860,9608600
2010-01-22,128.669998,128.889999,125.370003,125.500000,94.088844,10088600
2010-01-25,126.330002,126.889999,125.709999,126.120003,94.553688,5738500
2010-01-26,125.919998,127.750000,125.410004,125.750000,94.276276,7135300
2010-01-27,125.820000,126.959999,125.040001,126.330002,94.711105,8719200
2010-01-28,127.029999,127.040001,123.050003,123.750000,92.776848,9622200
2010-01-29,124.320000,125.000000,121.900002,122.389999,91.757233,11571200
2010-02-01,123.230003,124.949997,122.779999,124.669998,93.466576,7242900
2010-02-02,124.790001,125.809998,123.949997,125.529999,94.111336,5899900
2010-02-03,125.160004,126.070000,125.070000,125.660004,94.208817,4177100
2010-02-04,125.190002,125.440002,122.900002,123.000000,92.214569,9126900
2010-02-05,123.040001,123.720001,121.830002,123.519997,92.604401,8617000
2010-02-08,123.150002,123.220001,121.739998,121.879997,91.783577,5718500
2010-02-09,122.650002,124.199997,122.459999,123.209999,92.785126,6044500
2010-02-10,122.940002,123.650002,122.209999,122.809998,92.483902,5219100
2010-02-11,122.580002,124.199997,122.059998,123.730003,93.176750,5089000
2010-02-12,123.010002,124.050003,121.610001,124.000000,93.380051,8017700
